image_index,algorithm,jpeg_quality,match_count,is_pass
000000,dwtDct,100,48,True
000000,dwtDct,95,27,False
000000,dwtDct,90,21,False
000000,dwtDct,80,21,False
000000,dwtDct,50,21,False
000000,dwtDct,10,21,False
000001,dwtDct,100,27,False
000001,dwtDct,95,27,False
000001,dwtDct,90,27,False
000001,dwtDct,80,27,False
000001,dwtDct,50,27,False
000001,dwtDct,10,27,False
000002,dwtDct,100,48,True
000002,dwtDct,95,26,False
000002,dwtDct,90,21,False
000002,dwtDct,80,21,False
000002,dwtDct,50,21,False
000002,dwtDct,10,21,False
000003,dwtDct,100,48,True
000003,dwtDct,95,21,False
000003,dwtDct,90,21,False
000003,dwtDct,80,21,False
000003,dwtDct,50,21,False
000003,dwtDct,10,21,False
000004,dwtDct,100,48,True
000004,dwtDct,95,44,True
000004,dwtDct,90,26,False
000004,dwtDct,80,26,False
000004,dwtDct,50,25,False
000004,dwtDct,10,23,False
000005,dwtDct,100,48,True
000005,dwtDct,95,48,True
000005,dwtDct,90,39,True
000005,dwtDct,80,28,False
000005,dwtDct,50,23,False
000005,dwtDct,10,23,False
000006,dwtDct,100,45,True
000006,dwtDct,95,43,True
000006,dwtDct,90,34,False
000006,dwtDct,80,30,False
000006,dwtDct,50,25,False
000006,dwtDct,10,27,False
000007,dwtDct,100,47,True
000007,dwtDct,95,39,True
000007,dwtDct,90,29,False
000007,dwtDct,80,22,False
000007,dwtDct,50,20,False
000007,dwtDct,10,20,False
000008,dwtDct,100,44,True
000008,dwtDct,95,41,True
000008,dwtDct,90,28,False
000008,dwtDct,80,21,False
000008,dwtDct,50,21,False
000008,dwtDct,10,17,False
000009,dwtDct,100,42,True
000009,dwtDct,95,45,True
000009,dwtDct,90,39,True
000009,dwtDct,80,39,True
000009,dwtDct,50,28,False
000009,dwtDct,10,25,False
000010,dwtDct,100,48,True
000010,dwtDct,95,21,False
000010,dwtDct,90,21,False
000010,dwtDct,80,21,False
000010,dwtDct,50,21,False
000010,dwtDct,10,21,False
000011,dwtDct,100,48,True
000011,dwtDct,95,38,True
000011,dwtDct,90,26,False
000011,dwtDct,80,22,False
000011,dwtDct,50,22,False
000011,dwtDct,10,21,False
000012,dwtDct,100,27,False
000012,dwtDct,95,28,False
000012,dwtDct,90,27,False
000012,dwtDct,80,27,False
000012,dwtDct,50,26,False
000012,dwtDct,10,27,False
000013,dwtDct,100,47,True
000013,dwtDct,95,48,True
000013,dwtDct,90,44,True
000013,dwtDct,80,37,True
000013,dwtDct,50,28,False
000013,dwtDct,10,27,False
000014,dwtDct,100,48,True
000014,dwtDct,95,39,True
000014,dwtDct,90,30,False
000014,dwtDct,80,28,False
000014,dwtDct,50,22,False
000014,dwtDct,10,21,False
000015,dwtDct,100,48,True
000015,dwtDct,95,40,True
000015,dwtDct,90,29,False
000015,dwtDct,80,26,False
000015,dwtDct,50,23,False
000015,dwtDct,10,19,False
000016,dwtDct,100,48,True
000016,dwtDct,95,21,False
000016,dwtDct,90,21,False
000016,dwtDct,80,21,False
000016,dwtDct,50,21,False
000016,dwtDct,10,21,False
000017,dwtDct,100,48,True
000017,dwtDct,95,21,False
000017,dwtDct,90,21,False
000017,dwtDct,80,21,False
000017,dwtDct,50,21,False
000017,dwtDct,10,21,False
000018,dwtDct,100,27,False
000018,dwtDct,95,27,False
000018,dwtDct,90,27,False
000018,dwtDct,80,27,False
000018,dwtDct,50,27,False
000018,dwtDct,10,27,False
000019,dwtDct,100,27,False
000019,dwtDct,95,22,False
000019,dwtDct,90,16,False
000019,dwtDct,80,12,False
000019,dwtDct,50,25,False
000019,dwtDct,10,21,False
000020,dwtDct,100,29,False
000020,dwtDct,95,34,False
000020,dwtDct,90,32,False
000020,dwtDct,80,32,False
000020,dwtDct,50,28,False
000020,dwtDct,10,27,False
000021,dwtDct,100,48,True
000021,dwtDct,95,44,True
000021,dwtDct,90,27,False
000021,dwtDct,80,21,False
000021,dwtDct,50,21,False
000021,dwtDct,10,27,False
000022,dwtDct,100,48,True
000022,dwtDct,95,21,False
000022,dwtDct,90,21,False
000022,dwtDct,80,21,False
000022,dwtDct,50,21,False
000022,dwtDct,10,21,False
000023,dwtDct,100,48,True
000023,dwtDct,95,28,False
000023,dwtDct,90,25,False
000023,dwtDct,80,22,False
000023,dwtDct,50,21,False
000023,dwtDct,10,21,False
000024,dwtDct,100,39,True
000024,dwtDct,95,45,True
000024,dwtDct,90,40,True
000024,dwtDct,80,35,True
000024,dwtDct,50,26,False
000024,dwtDct,10,26,False
000025,dwtDct,100,41,True
000025,dwtDct,95,42,True
000025,dwtDct,90,38,True
000025,dwtDct,80,31,False
000025,dwtDct,50,26,False
000025,dwtDct,10,27,False
000026,dwtDct,100,48,True
000026,dwtDct,95,46,True
000026,dwtDct,90,31,False
000026,dwtDct,80,28,False
000026,dwtDct,50,25,False
000026,dwtDct,10,26,False
000027,dwtDct,100,27,False
000027,dwtDct,95,30,False
000027,dwtDct,90,27,False
000027,dwtDct,80,27,False
000027,dwtDct,50,27,False
000027,dwtDct,10,27,False
000028,dwtDct,100,48,True
000028,dwtDct,95,21,False
000028,dwtDct,90,21,False
000028,dwtDct,80,21,False
000028,dwtDct,50,21,False
000028,dwtDct,10,21,False
000029,dwtDct,100,39,True
000029,dwtDct,95,40,True
000029,dwtDct,90,34,False
000029,dwtDct,80,34,False
000029,dwtDct,50,35,True
000029,dwtDct,10,34,False
000000,dwtDctSvd,100,48,True
000000,dwtDctSvd,95,48,True
000000,dwtDctSvd,90,48,True
000000,dwtDctSvd,80,48,True
000000,dwtDctSvd,50,44,True
000000,dwtDctSvd,10,21,False
000001,dwtDctSvd,100,48,True
000001,dwtDctSvd,95,48,True
000001,dwtDctSvd,90,48,True
000001,dwtDctSvd,80,48,True
000001,dwtDctSvd,50,46,True
000001,dwtDctSvd,10,21,False
000002,dwtDctSvd,100,48,True
000002,dwtDctSvd,95,48,True
000002,dwtDctSvd,90,48,True
000002,dwtDctSvd,80,48,True
000002,dwtDctSvd,50,34,False
000002,dwtDctSvd,10,21,False
000003,dwtDctSvd,100,48,True
000003,dwtDctSvd,95,48,True
000003,dwtDctSvd,90,48,True
000003,dwtDctSvd,80,48,True
000003,dwtDctSvd,50,35,True
000003,dwtDctSvd,10,21,False
000004,dwtDctSvd,100,48,True
000004,dwtDctSvd,95,48,True
000004,dwtDctSvd,90,48,True
000004,dwtDctSvd,80,48,True
000004,dwtDctSvd,50,39,True
000004,dwtDctSvd,10,16,False
000005,dwtDctSvd,100,48,True
000005,dwtDctSvd,95,48,True
000005,dwtDctSvd,90,48,True
000005,dwtDctSvd,80,48,True
000005,dwtDctSvd,50,47,True
000005,dwtDctSvd,10,21,False
000006,dwtDctSvd,100,48,True
000006,dwtDctSvd,95,48,True
000006,dwtDctSvd,90,48,True
000006,dwtDctSvd,80,48,True
000006,dwtDctSvd,50,42,True
000006,dwtDctSvd,10,21,False
000007,dwtDctSvd,100,48,True
000007,dwtDctSvd,95,48,True
000007,dwtDctSvd,90,48,True
000007,dwtDctSvd,80,48,True
000007,dwtDctSvd,50,36,True
000007,dwtDctSvd,10,21,False
000008,dwtDctSvd,100,48,True
000008,dwtDctSvd,95,48,True
000008,dwtDctSvd,90,48,True
000008,dwtDctSvd,80,48,True
000008,dwtDctSvd,50,44,True
000008,dwtDctSvd,10,21,False
000009,dwtDctSvd,100,48,True
000009,dwtDctSvd,95,48,True
000009,dwtDctSvd,90,48,True
000009,dwtDctSvd,80,48,True
000009,dwtDctSvd,50,45,True
000009,dwtDctSvd,10,21,False
000010,dwtDctSvd,100,48,True
000010,dwtDctSvd,95,48,True
000010,dwtDctSvd,90,48,True
000010,dwtDctSvd,80,48,True
000010,dwtDctSvd,50,21,False
000010,dwtDctSvd,10,21,False
000011,dwtDctSvd,100,48,True
000011,dwtDctSvd,95,48,True
000011,dwtDctSvd,90,48,True
000011,dwtDctSvd,80,48,True
000011,dwtDctSvd,50,41,True
000011,dwtDctSvd,10,21,False
000012,dwtDctSvd,100,48,True
000012,dwtDctSvd,95,48,True
000012,dwtDctSvd,90,48,True
000012,dwtDctSvd,80,48,True
000012,dwtDctSvd,50,46,True
000012,dwtDctSvd,10,21,False
000013,dwtDctSvd,100,48,True
000013,dwtDctSvd,95,48,True
000013,dwtDctSvd,90,48,True
000013,dwtDctSvd,80,48,True
000013,dwtDctSvd,50,40,True
000013,dwtDctSvd,10,21,False
000014,dwtDctSvd,100,48,True
000014,dwtDctSvd,95,48,True
000014,dwtDctSvd,90,48,True
000014,dwtDctSvd,80,48,True
000014,dwtDctSvd,50,43,True
000014,dwtDctSvd,10,21,False
000015,dwtDctSvd,100,48,True
000015,dwtDctSvd,95,48,True
000015,dwtDctSvd,90,48,True
000015,dwtDctSvd,80,48,True
000015,dwtDctSvd,50,46,True
000015,dwtDctSvd,10,21,False
