image_index,algorithm,jpeg_quality,match_count,is_pass,read_time,write_time,encode_time,decode_time
000000,dwtDctSvdOptimized,100,48,True,0.0302,0.0752,0.4559,0.2774
000000,dwtDctSvdOptimized,95,48,True,0.0293,0.0228,0.0693,0.2528
000000,dwtDctSvdOptimized,90,48,True,0.0414,0.0281,0.0694,0.2489
000000,dwtDctSvdOptimized,80,48,True,0.0279,0.0221,0.0678,0.2501
000000,dwtDctSvdOptimized,50,44,True,0.0328,0.0211,0.0691,0.2320
000000,dwtDctSvdOptimized,10,21,False,0.0398,0.0194,0.0639,0.2186
000001,dwtDctSvdOptimized,100,48,True,0.0260,0.0804,0.0643,0.2777
000001,dwtDctSvdOptimized,95,48,True,0.0259,0.0215,0.0677,0.2515
000001,dwtDctSvdOptimized,90,48,True,0.0379,0.0211,0.0688,0.2522
000001,dwtDctSvdOptimized,80,48,True,0.0302,0.0194,0.0708,0.2436
000001,dwtDctSvdOptimized,50,46,True,0.0252,0.0197,0.0638,0.2393
000001,dwtDctSvdOptimized,10,21,False,0.0385,0.0194,0.0691,0.2276
000002,dwtDctSvdOptimized,100,48,True,0.0272,0.0731,0.0651,0.2982
000002,dwtDctSvdOptimized,95,48,True,0.0264,0.0221,0.0620,0.2537
000002,dwtDctSvdOptimized,90,48,True,0.0437,0.0216,0.0674,0.2536
000002,dwtDctSvdOptimized,80,48,True,0.0278,0.0211,0.0660,0.2425
000002,dwtDctSvdOptimized,50,33,False,0.0265,0.0331,0.0615,0.2345
000002,dwtDctSvdOptimized,10,21,False,0.0377,0.0197,0.0678,0.2196
000003,dwtDctSvdOptimized,100,48,True,0.0273,0.1737,0.0665,0.2734
000003,dwtDctSvdOptimized,95,48,True,0.0385,0.0228,0.0675,0.2470
000003,dwtDctSvdOptimized,90,48,True,0.0283,0.1162,0.0706,0.3556
000003,dwtDctSvdOptimized,80,48,True,0.0378,0.0208,0.0657,0.2405
000003,dwtDctSvdOptimized,50,35,True,0.0271,0.0199,0.0624,0.2364
000003,dwtDctSvdOptimized,10,21,False,0.0395,0.0187,0.0677,0.2146
000004,dwtDctSvdOptimized,100,48,True,0.0312,0.0778,0.0758,0.2789
000004,dwtDctSvdOptimized,95,48,True,0.0358,0.0262,0.0666,0.2646
000004,dwtDctSvdOptimized,90,48,True,0.0421,0.0219,0.0714,0.2582
000004,dwtDctSvdOptimized,80,48,True,0.0310,0.0213,0.0703,0.2540
000004,dwtDctSvdOptimized,50,41,True,0.0300,0.0194,0.0659,0.2569
000004,dwtDctSvdOptimized,10,18,False,0.0431,0.0190,0.0742,0.2372
000005,dwtDctSvdOptimized,100,48,True,0.0347,0.0808,0.0686,0.2777
000005,dwtDctSvdOptimized,95,48,True,0.0292,0.0228,0.0656,0.2590
000005,dwtDctSvdOptimized,90,48,True,0.0412,0.0226,0.0700,0.2489
000005,dwtDctSvdOptimized,80,48,True,0.0320,0.0217,0.0692,0.2499
000005,dwtDctSvdOptimized,50,46,True,0.0291,0.0208,0.0659,0.2450
000005,dwtDctSvdOptimized,10,21,False,0.0454,0.0212,0.0679,0.2413
000006,dwtDctSvdOptimized,100,48,True,0.0281,0.0682,0.0672,0.2650
000006,dwtDctSvdOptimized,95,48,True,0.0267,0.0397,0.0643,0.2490
000006,dwtDctSvdOptimized,90,48,True,0.0411,0.0209,0.0654,0.2478
000006,dwtDctSvdOptimized,80,48,True,0.0276,0.0197,0.0642,0.2453
000006,dwtDctSvdOptimized,50,44,True,0.0316,0.0195,0.0685,0.2315
000006,dwtDctSvdOptimized,10,21,False,0.0387,0.0192,0.0661,0.2278
000007,dwtDctSvdOptimized,100,48,True,0.0273,0.0741,0.0667,0.2743
000007,dwtDctSvdOptimized,95,48,True,0.0266,0.0216,0.0654,0.2525
000007,dwtDctSvdOptimized,90,48,True,0.0386,0.0251,0.0659,0.2441
000007,dwtDctSvdOptimized,80,48,True,0.0344,0.0209,0.0637,0.2465
000007,dwtDctSvdOptimized,50,36,True,0.0266,0.0197,0.0662,0.2376
000007,dwtDctSvdOptimized,10,21,False,0.0382,0.0270,0.0649,0.2418
000008,dwtDctSvdOptimized,100,48,True,0.0256,0.0739,0.0650,0.2612
000008,dwtDctSvdOptimized,95,48,True,0.0242,0.0225,0.0612,0.2467
000008,dwtDctSvdOptimized,90,48,True,0.0477,0.0201,0.0616,0.2461
000008,dwtDctSvdOptimized,80,48,True,0.0250,0.0284,0.0622,0.2456
000008,dwtDctSvdOptimized,50,45,True,0.0242,0.0192,0.0633,0.2309
000008,dwtDctSvdOptimized,10,21,False,0.0362,0.0184,0.0623,0.2262
000009,dwtDctSvdOptimized,100,48,True,0.0295,0.0729,0.0681,0.2826
000009,dwtDctSvdOptimized,95,48,True,0.0334,0.0230,0.0648,0.2475
000009,dwtDctSvdOptimized,90,48,True,0.0402,0.0255,0.0662,0.2463
000009,dwtDctSvdOptimized,80,48,True,0.0290,0.0256,0.0679,0.2467
000009,dwtDctSvdOptimized,50,46,True,0.0281,0.0194,0.0693,0.2368
000009,dwtDctSvdOptimized,10,21,False,0.0402,0.0186,0.0652,0.2451
000010,dwtDctSvdOptimized,100,48,True,0.0334,0.0874,0.0637,0.2752
000010,dwtDctSvdOptimized,95,48,True,0.0276,0.0238,0.0605,0.2479
000010,dwtDctSvdOptimized,90,48,True,0.0392,0.0227,0.0672,0.2411
000010,dwtDctSvdOptimized,80,48,True,0.0285,0.0223,0.0607,0.2388
000010,dwtDctSvdOptimized,50,21,False,0.0277,0.0212,0.0615,0.2151
000010,dwtDctSvdOptimized,10,21,False,0.0441,0.0199,0.0616,0.1892
000011,dwtDctSvdOptimized,100,48,True,0.0267,0.0764,0.0677,0.2532
000011,dwtDctSvdOptimized,95,48,True,0.0253,0.0277,0.0656,0.2317
000011,dwtDctSvdOptimized,90,48,True,0.0379,0.0221,0.0651,0.2279
000011,dwtDctSvdOptimized,80,48,True,0.0261,0.0210,0.0641,0.2283
000011,dwtDctSvdOptimized,50,41,True,0.0311,0.0248,0.0644,0.2156
000011,dwtDctSvdOptimized,10,21,False,0.0369,0.0187,0.0653,0.2127
000012,dwtDctSvdOptimized,100,48,True,0.0292,0.0832,0.0676,0.3186
000012,dwtDctSvdOptimized,95,48,True,0.0277,0.0225,0.0648,0.2752
000012,dwtDctSvdOptimized,90,48,True,0.0412,0.0211,0.0655,0.2430
000012,dwtDctSvdOptimized,80,48,True,0.0327,0.0209,0.0684,0.2461
000012,dwtDctSvdOptimized,50,45,True,0.0277,0.0201,0.0647,0.2359
000012,dwtDctSvdOptimized,10,21,False,0.0567,0.0280,0.0667,0.2253
000013,dwtDctSvdOptimized,100,48,True,0.0273,0.0721,0.0675,0.2703
000013,dwtDctSvdOptimized,95,48,True,0.0260,0.0217,0.0646,0.2479
000013,dwtDctSvdOptimized,90,48,True,0.0424,0.0337,0.0634,0.2447
000013,dwtDctSvdOptimized,80,48,True,0.0267,0.0205,0.0619,0.2417
000013,dwtDctSvdOptimized,50,39,True,0.0260,0.0194,0.0627,0.2331
