image_index,algorithm,jpeg_quality,match_count,is_pass,read_time,write_time,encode_time,decode_time
000000,dwtSvdCorner,100,44,True,0.0328,0.0778,0.0104,0.0395
000001,dwtSvdCorner,100,41,True,0.0289,0.0757,0.0021,0.0383
000002,dwtSvdCorner,100,42,True,0.0291,0.0755,0.0022,0.0404
000003,dwtSvdCorner,100,39,True,0.0290,0.0810,0.0025,0.0435
000004,dwtSvdCorner,100,38,True,0.0325,0.0865,0.0022,0.0419
000005,dwtSvdCorner,100,41,True,0.0420,0.0798,0.0022,0.0417
000006,dwtSvdCorner,100,39,True,0.0303,0.0707,0.0025,0.0358
000007,dwtSvdCorner,100,42,True,0.0300,0.0770,0.0021,0.0389
000008,dwtSvdCorner,100,36,True,0.0275,0.0673,0.0020,0.0358
000009,dwtSvdCorner,100,41,True,0.0315,0.0801,0.0020,0.0457
000010,dwtSvdCorner,100,35,True,0.0402,0.0856,0.0020,0.0487
000011,dwtSvdCorner,100,37,True,0.0279,0.0805,0.0021,0.0405
000012,dwtSvdCorner,100,41,True,0.0318,0.0822,0.0021,0.0451
000013,dwtSvdCorner,100,40,True,0.0293,0.0748,0.0021,0.0390
000014,dwtSvdCorner,100,35,True,0.0279,0.0777,0.0022,0.0397
000015,dwtSvdCorner,100,36,True,0.0409,0.0791,0.0025,0.0412
000016,dwtSvdCorner,100,40,True,0.0290,0.0716,0.0020,0.0361
000017,dwtSvdCorner,100,37,True,0.0296,0.0837,0.0021,0.0456
000018,dwtSvdCorner,100,41,True,0.0288,0.0852,0.0021,0.0388
000019,dwtSvdCorner,100,40,True,0.0327,0.0832,0.0021,0.0439
000020,dwtSvdCorner,100,39,True,0.0401,0.0888,0.0021,0.0375
000021,dwtSvdCorner,100,40,True,0.0294,0.0765,0.0021,0.0429
000022,dwtSvdCorner,100,35,True,0.0295,0.0869,0.0020,0.0421
000023,dwtSvdCorner,100,41,True,0.0314,0.0745,0.0020,0.0381
000024,dwtSvdCorner,100,38,True,0.0301,0.0754,0.0020,0.0393
000025,dwtSvdCorner,100,35,True,0.0411,0.0783,0.0020,0.0401
000026,dwtSvdCorner,100,41,True,0.0312,0.0828,0.0021,0.0431
000027,dwtSvdCorner,100,42,True,0.0293,0.0758,0.0020,0.0413
000028,dwtSvdCorner,100,38,True,0.0315,0.0822,0.0020,0.0412
000029,dwtSvdCorner,100,36,True,0.0291,0.0750,0.0020,0.0398
